Season,Team,FT_Result,GHome,GConHome,Win,Draw,Lose,GAway,GConAway,W,D,L,Points,GF,GA,GD,MP
09/10,Bologna,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Siena,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Catania,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Genoa,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Inter,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Juventus,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Lazio,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Livorno,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Palermo,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Udinese,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Bari,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Milan,Away Win,0,4,0,0,1,0,0,0,0,0,0,0,4,-4,1
09/10,Atalanta,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Cagliari,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Chievo,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Fiorentina,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Napoli,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Parma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Roma,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Sampdoria,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Lazio,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Livorno,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Atalanta,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Bologna,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Fiorentina,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Genoa,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Inter,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Palermo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Siena,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Udinese,Home Win,4,2,1,0,0,0,0,3,0,0,3,4,2,2,1
09/10,Juventus,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Napoli,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Bari,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Cagliari,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Catania,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Chievo,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Milan,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Parma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Roma,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Sampdoria,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Atalanta,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Bari,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Bologna,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Fiorentina,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Inter,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Lazio,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Palermo,Draw,3,3,0,1,0,0,0,0,1,0,1,3,3,0,1
09/10,Siena,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Udinese,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Genoa,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Livorno,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Sampdoria,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Catania,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Chievo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Juventus,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Lazio,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Milan,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Napoli,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Parma,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Udinese,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Bari,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Inter,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Atalanta,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Bologna,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Cagliari,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Fiorentina,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Palermo,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Roma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Sampdoria,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Siena,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Genoa,Away Win,0,5,0,0,1,0,0,0,0,0,0,0,5,-5,1
09/10,Juventus,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Catania,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Chievo,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Lazio,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Livorno,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Milan,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Napoli,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Parma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Udinese,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Inter,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Sampdoria,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Atalanta,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Bari,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Cagliari,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Chievo,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Fiorentina,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Palermo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Roma,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Siena,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Bologna,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Catania,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Genoa,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Juventus,Home Win,5,1,1,0,0,0,0,3,0,0,3,5,1,4,1
09/10,Lazio,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Livorno,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Napoli,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Parma,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Udinese,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Inter,Home Win,5,3,1,0,0,0,0,3,0,0,3,5,3,2,1
09/10,Juventus,Away Win,2,3,0,0,1,0,0,0,0,0,0,2,3,-1,1
09/10,Milan,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Cagliari,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Chievo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Fiorentina,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Livorno,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Palermo,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Roma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Sampdoria,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Siena,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Atalanta,Away Win,2,5,0,0,1,0,0,0,0,0,0,2,5,-3,1
09/10,Catania,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Bari,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Bologna,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Cagliari,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Genoa,Home Win,4,2,1,0,0,0,0,3,0,0,3,4,2,2,1
09/10,Inter,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Lazio,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Parma,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Udinese,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Bologna,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Fiorentina,Away Win,2,3,0,0,1,0,0,0,0,0,0,2,3,-1,1
09/10,Juventus,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Livorno,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Milan,Home Win,4,3,1,0,0,0,0,3,0,0,3,4,3,1,1
09/10,Napoli,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Palermo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Roma,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Sampdoria,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Siena,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Genoa,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Udinese,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Atalanta,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Bari,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Cagliari,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Catania,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Chievo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Inter,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Lazio,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Parma,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Juventus,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Milan,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Bologna,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Fiorentina,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Genoa,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Livorno,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Napoli,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Palermo,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Roma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Siena,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Bari,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Cagliari,Draw,3,3,0,1,0,0,0,0,1,0,1,3,3,0,1
09/10,Atalanta,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Catania,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Chievo,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Lazio,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Milan,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Parma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Sampdoria,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Siena,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Inter,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Juventus,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Livorno,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Napoli,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Palermo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Roma,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Atalanta,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Bari,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Cagliari,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Catania,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Chievo,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Lazio,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Milan,Home Win,5,2,1,0,0,0,0,3,0,0,3,5,2,3,1
09/10,Parma,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Sampdoria,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Siena,Away Win,1,5,0,0,1,0,0,0,0,0,0,1,5,-4,1
09/10,Inter,Home Win,4,3,1,0,0,0,0,3,0,0,3,4,3,1,1
09/10,Roma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Bologna,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Fiorentina,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Genoa,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Juventus,Away Win,0,3,0,0,1,0,0,0,0,0,0,0,3,-3,1
09/10,Livorno,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Napoli,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Palermo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Udinese,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Bari,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Cagliari,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Atalanta,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Chievo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Fiorentina,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Milan,Home Win,4,0,1,0,0,0,0,3,0,0,3,4,0,4,1
09/10,Napoli,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Parma,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Roma,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Sampdoria,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Bologna,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Genoa,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Catania,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Juventus,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Bologna,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Genoa,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Inter,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Lazio,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Livorno,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Palermo,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Siena,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Udinese,Away Win,2,3,0,0,1,0,0,0,0,0,0,2,3,-1,1
09/10,Bari,Home Win,4,2,1,0,0,0,0,3,0,0,3,4,2,2,1
09/10,Napoli,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Cagliari,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Catania,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Chievo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Juventus,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Milan,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Roma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Sampdoria,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Livorno,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Palermo,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Atalanta,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Bologna,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Fiorentina,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Genoa,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Inter,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Lazio,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Siena,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Udinese,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Parma,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Milan,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Roma,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Sampdoria,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Cagliari,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Catania,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Chievo,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Juventus,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Livorno,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Napoli,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Parma,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Genoa,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Inter,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Atalanta,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Bari,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Bologna,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Cagliari,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Fiorentina,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Palermo,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Roma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Siena,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Fiorentina,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Udinese,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Catania,Home Win,4,0,1,0,0,0,0,3,0,0,3,4,0,4,1
09/10,Lazio,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Chievo,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Genoa,Away Win,3,4,0,0,1,0,0,0,0,0,0,3,4,-1,1
09/10,Juventus,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Livorno,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Milan,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Napoli,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Parma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Udinese,Away Win,2,3,0,0,1,0,0,0,0,0,0,2,3,-1,1
09/10,Fiorentina,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Roma,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Atalanta,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Bari,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Bologna,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Cagliari,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Inter,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Palermo,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Sampdoria,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Siena,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Catania,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Napoli,Away Win,1,3,0,0,1,0,0,0,0,0,0,1,3,-2,1
09/10,Bologna,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Genoa,Home Win,5,3,1,0,0,0,0,3,0,0,3,5,3,2,1
09/10,Juventus,Draw,3,3,0,1,0,0,0,0,1,0,1,3,3,0,1
09/10,Lazio,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Livorno,Draw,3,3,0,1,0,0,0,0,1,0,1,3,3,0,1
09/10,Milan,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Parma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Udinese,Home Win,3,2,1,0,0,0,0,3,0,0,3,3,2,1,1
09/10,Fiorentina,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Palermo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Roma,Home Win,4,2,1,0,0,0,0,3,0,0,3,4,2,2,1
09/10,Atalanta,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Bari,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Cagliari,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Chievo,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Milan,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Sampdoria,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Siena,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Atalanta,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Bari,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Bologna,Away Win,0,2,0,0,1,0,0,0,0,0,0,0,2,-2,1
09/10,Catania,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Genoa,Draw,2,2,0,1,0,0,0,0,1,0,1,2,2,0,1
09/10,Inter,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
09/10,Lazio,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Parma,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Udinese,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Napoli,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Palermo,Home Win,3,1,1,0,0,0,0,3,0,0,3,3,1,2,1
09/10,Roma,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Chievo,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Fiorentina,Home Win,4,1,1,0,0,0,0,3,0,0,3,4,1,3,1
09/10,Juventus,Home Win,2,1,1,0,0,0,0,3,0,0,3,2,1,1,1
09/10,Livorno,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Milan,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Napoli,Home Win,1,0,1,0,0,0,0,3,0,0,3,1,0,1,1
09/10,Sampdoria,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Siena,Draw,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
09/10,Atalanta,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Bari,Away Win,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,1
09/10,Cagliari,Away Win,2,3,0,0,1,0,0,0,0,0,0,2,3,-1,1
09/10,Catania,Home Win,2,0,1,0,0,0,0,3,0,0,3,2,0,2,1
09/10,Chievo,Away Win,1,2,0,0,1,0,0,0,0,0,0,1,2,-1,1
09/10,Genoa,Draw,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
09/10,Inter,Home Win,3,0,1,0,0,0,0,3,0,0,3,3,0,3,1
